ふりがな,名称,所在地又は代表地番,latitude,longitude,公園種別
まつがおかじどうゆうえんち,松ケ丘児童遊園地,松ケ丘1丁目116-2,34.788164,135.390546,児童遊園地
みずぐちじどうゆうえんち,水口児童遊園地,野間北1丁目24-2,34.772262,135.395768,児童遊園地
みなみのあずきりょうじどうゆうえんち,南野小豆領児童遊園地,南鈴原2丁目74,34.771825,135.407211,児童遊園地
みなみのながさわじどうゆうえんち,南野長沢児童遊園地,安堂寺町7丁目192,34.765232,135.403733,児童遊園地
みなみのながさわ（Ⅱ）じどうゆうえんち,南野長沢（Ⅱ）児童遊園地,安堂寺町7丁目75,34.765452,135.40424,児童遊園地
みなみのはやしじどうゆうえんち,南野林児童遊園地,南野1丁目767-2,34.767562,135.409556,児童遊園地
みなみおぎのじどうゆうえんち,南荻野児童遊園地,"荻野西1丁目14,荻野西1丁目5",34.801733,135.390772,児童遊園地
みすずじどうゆうえんち,美鈴児童遊園地,美鈴町1丁目45,34.772774,135.402816,児童遊園地
ひがしありおか（Ⅱ）じどうゆうえんち,東有岡（Ⅱ）児童遊園地,東有岡1丁目18-21,34.778879,135.424448,児童遊園地
みなみちょう（Ⅱ）じどうゆうえんち,南町（Ⅱ）児童遊園地,南町2丁目20-2,34.769081,135.419386,児童遊園地
ぱすとらるこやじどうゆうえんち,パストラル昆陽児童遊園地,池尻1丁目200,34.776209,135.383164,児童遊園地
ひがしありおかじどうゆうえんち,東有岡児童遊園地,東有岡1丁目18-1、19-20,34.780101,135.423885,児童遊園地
ひらたじどうゆうえんち,平田児童遊園地,昆陽南5丁目270,34.773086,135.394785,児童遊園地
もりもとじどうゆうえんち,森本児童遊園地,森本2丁目199-2、200,34.780356,135.432383,児童遊園地
やまだしもにしざいじどうゆうえんち,山田下西在児童遊園地,山田5丁目193,34.770218,135.383927,児童遊園地
ゆうかりせんたーじどうゆうえんち,ゆうかりセンター児童遊園地,鈴原町2丁目4,34.776274,135.408098,児童遊園地
ろうきんこやこーぽじどうゆうえんち,労金昆陽コーポ児童遊園地,昆陽南1丁目346,34.777659,135.397931,児童遊園地
わかばじどうゆうえんち,若葉児童遊園地,安堂寺町2丁目46,34.762693,135.410233,児童遊園地
わかたけじどうゆうえんち,若竹児童遊園地,奥畑2丁目147,34.781938,135.38586,児童遊園地
いけのさかじどうゆうえんち,池ノ阪児童遊園地,伊丹5丁目616-1,34.777602,135.421096,児童遊園地
ひらまちじどうゆうえんち,平町児童遊園地,寺本5丁目114外,34.778581,135.389466,児童遊園地
しみずじどうゆうえんち,清水児童遊園地,清水4丁目85-1,34.786225,135.412235,児童遊園地
なかよし（Ⅱ）じどうゆうえんち,なかよし（Ⅱ）児童遊園地,北本町1丁目118-11、118-2,34.784488,135.418238,児童遊園地
さかもとじどうゆうえんち,坂本児童遊園地,池尻5丁目46-4,34.77763,135.380478,児童遊園地
ＪＲいたみえきひがしひろば,ＪＲ伊丹駅東広場,東有岡1丁目,34.780322,135.422141,児童遊園地
さとうまえじどうゆうえんち,佐藤前児童遊園地,昆陽南1丁目309,34.77779,135.395767,児童遊園地
にしのみなみじどうゆうえんち,西野南児童遊園地,西野4丁目53-20、53-21,34.783819,135.374507,児童遊園地
きたむら（Ⅱ）じどうゆうえんち,北村（Ⅱ）児童遊園地,北伊丹7丁目100,34.796218,135.417162,児童遊園地
ひがしなかたじどうゆうえんち,東中田児童遊園地,昆陽東3丁目62、63,34.777735,135.402919,児童遊園地
でぃおふぇるてぃじどうゆうえんち,ディオフェルティ児童遊園地,昆陽南1丁目24,34.777919,135.39876,児童遊園地
ひまわりじどうゆうえんち,ひまわり児童遊園地,東有岡1丁目19-37,34.779126,135.425057,児童遊園地
みやのしたひろば,宮ノ下広場,北本町2丁目71-1外,34.784662,135.416208,児童遊園地
すみれじどうゆうえんち,すみれ児童遊園地,寺本3丁目202番2、202番3、202番4,34.779153,135.385873,児童遊園地
みなみちょうじどうゆうえんち,南町児童遊園地,南町2丁目25,34.768838,135.418849,児童遊園地
のじぎくじどうゆうえんち,のじぎく児童遊園地,西野6丁目33-9,34.791466,135.372692,児童遊園地
おぎの（Ⅰ）じどうゆうえんち,荻野（Ⅰ）児童遊園地,荻野西2丁目67,34.802783,135.389523,児童遊園地
やぐらづかじどうゆうえんち,矢倉塚児童遊園地,安堂寺町1丁目30,34.764213,135.410405,児童遊園地
おくはたこすもすじどうゆうえんち,奥畑コスモス児童遊園地,奥畑2丁目185-3,34.782416,135.384598,児童遊園地
せんぞひがしじどうゆうえんち,千僧東児童遊園地,千僧4丁目390,34.782927,135.407685,児童遊園地
こやしののめじどうゆうえんち,昆陽東雲児童遊園地,昆陽2丁目206,34.781093,135.400913,児童遊園地
おおのなでしこじどうゆうえんち,大野ナデシコ児童遊園地,大野1丁目23-7,34.805114,135.399616,児童遊園地
せんぞあざれあじどうゆうえんち,千僧アザレア児童遊園地,千僧4丁目214-1,34.784767,135.408179,児童遊園地
ごがづかじどうゆうえんち,御願塚児童遊園地,御願塚4丁目895,34.767345,135.4137,児童遊園地
しんいたみこうえんじどうゆうえんち,新伊丹公園児童遊園地,御願塚1丁目80-3,34.77236,135.411752,児童遊園地
あまつじどうゆうえんち,天津児童遊園地,藤ノ木2丁目20,34.784757,135.422672,児童遊園地
おおのくちなしじどうゆうえんち,大野クチナシ児童遊園地,大野1丁目1-3、3-9、155-3,34.804007,135.401883,児童遊園地
いたみすいせんじどうゆうえんち,伊丹スイセン児童遊園地,伊丹1丁目291-3,34.781957,135.419824,児童遊園地
おおのりんどうじどうゆうえんち,大野リンドウ児童遊園地,大野1丁目13-3,34.805096,135.401451,児童遊園地
くるまづかさくらじどうゆうえんち,車塚サクラ児童遊園地,車塚2丁目1番3,34.763492,135.399402,児童遊園地
みなみほんまちはなみずきじどうゆうえんち,南本町ハナミズキ児童遊園地,南本町7丁目3番3,34.770065,135.418389,児童遊園地
こうのいけみやのまえじどうゆうえんち,鴻池宮ノ前児童遊園地,鴻池3丁目199,34.79716,135.385083,児童遊園地
ひらまつみなみじどうゆうえんち,平松南児童遊園地,平松7丁目1番2,34.769421,135.417564,児童遊園地
なかのきたじどうゆうえんち,中野北児童遊園地,中野北1丁目9番5,34.793588,135.385946,児童遊園地
みやにしがーでん,宮西ガーデン,宮ノ前3丁目39-9,34.783901,135.414119,児童遊園地
きたむらいちじくじどうゆうえんち,北村いちじく児童遊園地,北伊丹7丁目14-3,34.796651,135.415806,児童遊園地
こうのいけつつじじどうゆうえんち,鴻池つつじ児童遊園地,鴻池1丁目304番6,34.79679,135.39071,児童遊園地
たかだいじどうゆうえんち,高台児童遊園地,高台3丁目68番2,34.79311,135.412498,児童遊園地
おおのじどうゆうえんち,大野児童遊園地,大野１丁目59番6,34.80604,135.400165,児童遊園地
しもがわら（Ⅲ）じどうゆうえんち,下河原（Ⅲ）児童遊園地,下河原2丁目141-2,34.799399,135.429692,児童遊園地
いけじりこうしんづかじどうゆうえんち,池尻庚申塚児童遊園地,池尻3丁目203,34.781903,135.380824,児童遊園地
いけじりなかじまじどうゆうえんち,池尻中島児童遊園地,池尻7丁目37､38､39,34.779414,135.378113,児童遊園地
いなのじどうゆうえんち,稲野児童遊園地,稲野町1丁目76-4、86-5,34.765251,135.415482,児童遊園地
かきのきじどうゆうえんち,柿ノ木児童遊園地,"森本2丁目24,28,29",34.782121,135.431117,児童遊園地
かみすこじどうゆうえんち,上須古児童遊園地,"森本7丁目32,33",34.781461,135.436211,児童遊園地
きたいたみじどうゆうえんち,北伊丹児童遊園地,北伊丹4丁目65、63-2、64、66-2,34.795406,135.41833,児童遊園地
こうのいけじどうゆうえんち,鴻池児童遊園地,鴻池6丁目224、226、231,34.800595,135.38495,児童遊園地
こやばばぐちじどうゆうえんち,昆陽馬場口児童遊園地,昆陽7丁目44-2,34.778645,135.393921,児童遊園地
こだまじどうゆうえんち,こだま児童遊園地,南野北4丁目218,34.768573,135.400262,児童遊園地
そとがわらじどうゆうえんち,外川原児童遊園地,西野7丁目31,34.785997,135.372832,児童遊園地
こやのさとじどうゆうえんち,昆陽里児童遊園地,山田5丁目34-1の一部,34.772687,135.384552,児童遊園地
たつみかきうちじどうゆうえんち,辰己垣内児童遊園地,御願塚8丁目地内,34.766207,135.410145,児童遊園地
つばめじどうゆうえんち,つばめ児童遊園地,野間北4丁目129-1,34.767959,135.393794,児童遊園地
ひがしのじどうゆうえんち,東野児童遊園地,東野5丁目76,34.802292,135.398032,児童遊園地
ふじじどうゆうえんち,ふじ児童遊園地,御願塚3丁目933-2,34.768099,135.41313,児童遊園地
ほったなかじどうゆうえんち,堀田中児童遊園地,荒牧1丁目地先,34.806848,135.380013,児童遊園地
しもがわらひがしじどうゆうえんち,下河原東児童遊園地,下河原3丁目155,34.798796,135.43074,児童遊園地
てらもと（Ⅲ）じどうゆうえんち,寺本（Ⅲ）児童遊園地,"寺本1丁目87,88-1,88-2",34.77465,135.388507,児童遊園地
きたむら（Ⅰ）じどうゆうえんち,北村（Ⅰ）児童遊園地,北伊丹3丁目79-2,34.794663,135.4166,児童遊園地
ひがしくわづ（Ⅰ）じどうゆうえんち,東桑津（Ⅰ）児童遊園地,桑津1丁目289-33、289-45,34.784672,135.42767,児童遊園地
にしのさんかくひろば,西野三角広場,西野5丁目276,34.790835,135.372424,児童遊園地
こまつばらじどうゆうえんち,小松原児童遊園地,西野6丁目234、235,34.791886,135.371999,児童遊園地
さくらざきじどうゆうえんち,桜崎児童遊園地,宮ノ前3丁目1の一部,34.784884,135.414679,児童遊園地
やまだじどうゆうえんち,山田児童遊園地,"山田4丁目34の一部，尼崎市武庫之荘9丁目257-1の一部、258-1,258-4",34.770517,135.387541,児童遊園地
さくらがおか（Ⅱ）じどうゆうえんち,桜ケ丘（Ⅱ）児童遊園地,桜ケ丘5丁目30、30-1,34.785773,135.409217,児童遊園地
ちょうせいじどうゆうえんち,長勢児童遊園地,昆陽6丁目10-1,34.780063,135.397367,児童遊園地
えあふろんとおあしす（しもがわら）,エアフロントオアシス(下河原),下河原3丁目101,34.797928,135.429324,公園外管理地
みどりのぷらざ,みどりのプラザ,荒牧6丁目4-12,34.810826,135.38676,公園外管理地
